Date,PC1,PC2
2014-07-07,-1.2998283099435546,-1.186459320691958
2014-07-08,-1.2893681582563485,-0.6845556216744075
2014-07-09,-1.258619824573172,-0.38526710216522353
2014-07-10,-1.1995253948748836,-0.2559209833940029
2014-07-11,-1.18485303777616,-1.0885118078764084
2014-07-14,-1.2674129318461635,0.0885987446508913
2014-07-15,-1.3824838037669478,-0.23131744090331083
2014-07-16,-1.416539384615369,-0.8661874698589566
2014-07-17,-1.340769311287474,-0.22369498564861084
2014-07-18,-1.3173804826102462,-0.7898604064899951
2014-07-21,-1.3250508789939495,-1.8385823640035943
2014-07-22,-1.3443569352489213,-1.8696244639370565
2014-07-23,-1.359975709027647,-1.8250191632182926
2014-07-24,-1.416702154428022,-1.6839518493344718
2014-07-25,-1.4020355903160981,-1.5959761488056303
2014-07-28,-1.3645204846353054,-1.4211181626622937
2014-07-29,-1.374690731313575,-0.600869332063755
2014-07-30,-1.411105780373732,-0.7214699589359328
2014-07-31,-1.4644907961722144,-0.6836167652314733
2014-08-01,-1.4664956615350746,-0.6436900171727329
2014-08-04,-1.456624690618387,-1.3589810708208934
2014-08-05,-1.476874733042963,-1.0109953934314557
2014-08-06,-1.4085906027323098,-0.4665099331009104
2014-08-07,-1.3478271116502576,-0.78581426356427
2014-08-08,-1.3209552844685457,-0.5078584456221722
2014-08-11,-1.348616009932574,-1.3814451611713354
2014-08-12,-1.3380704041826472,-1.0108286128271828
2014-08-13,-1.3371778148053313,-1.0157480224301771
2014-08-14,-1.3154459311331932,-0.967084477449907
2014-08-15,-1.3580189997122876,-0.09470186378762747
2014-08-18,-1.4005445824837814,-1.254127045041725
2014-08-19,-1.4171599053262949,-1.2383534237617935
2014-08-20,-1.4366620683300169,-1.1769810404132743
2014-08-21,-1.5232258733410233,-0.6277507375267622
2014-08-22,-1.5309129212376762,-1.105590228891828
2014-08-25,-1.533942912342379,-1.4841096404652332
2014-08-26,-1.5104313191785874,-0.9761415139049457
2014-08-27,-1.506624882662124,-1.347179438914328
2014-08-28,-1.4734589635566493,-0.9027813632848205
2014-08-29,-1.4759355130625995,-1.2707308984389818
2014-09-02,-1.539941096908328,-0.16625283428577092
2014-09-03,-1.5981487038783633,-0.9711078733971223
2014-09-04,-1.5874933696141702,-0.5259441003689915
2014-09-05,-1.6123619491418828,-0.9651426147013381
2014-09-08,-1.6317563204434973,-0.880078935250924
2014-09-09,-1.6843501482927608,-0.7401453014465709
2014-09-10,-1.69580342019036,-0.6238176203301319
2014-09-11,-1.7386347612189792,-0.44448282834589725
2014-09-12,-1.787756259883555,-0.6157687924681631
2014-09-15,-1.8110004276646914,-1.058463440716295
2014-09-16,-1.7848288956371126,-0.7633024012723417
2014-09-17,-1.801815540133279,-0.6910769274043583
2014-09-18,-1.8585767184419884,-0.5415159192553987
2014-09-19,-1.8708413331665708,-0.2302730934319092
2014-09-22,-1.905290712431504,-0.6538984148408817
2014-09-23,-1.8677730168316293,-0.4589190124263411
2014-09-24,-1.8733616079403894,-0.6803288364874452
2014-09-25,-1.8922321452139435,-0.18139023376684169
2014-09-26,-1.8765075312626958,-0.5312010346355954
2014-09-29,-1.8876183575850412,-0.9609496988790341
2014-09-30,-1.9202210921753557,-0.17961739089663065
2014-10-01,-1.9258658672075568,-0.5434530516515298
2014-10-02,-1.9082333631012929,-0.5111411444776093
2014-10-03,-1.9789093138660003,-0.12236368516492317
2014-10-06,-2.011607697486057,-0.5435252338862085
2014-10-07,-1.944865170763409,-0.5895016580108603
2014-10-08,-1.930095014670292,-0.10116637189029554
2014-10-09,-1.8505557744577579,-0.3600226882734654
2014-10-10,-1.8691297251435703,-0.8319025248895459
2014-10-13,-1.8280814493095456,-0.7837101050215369
2014-10-14,-1.791457716065142,-0.8870183384504967
2014-10-15,-1.7694749426337102,0.6292173273417409
2014-10-16,-1.7532461099328784,-0.17089979669340546
2014-10-17,-1.774416857585728,-0.8472601538020795
2014-10-20,-1.7527940234042099,-1.0709158813731687
2014-10-21,-1.7021040011925779,-0.5103305470622367
2014-10-22,-1.7260276952466431,-0.9126682651228545
2014-10-23,-1.7890027196798477,-0.614886933102802
2014-10-24,-1.811410838259612,-1.0939483492024051
2014-10-27,-1.8292703371990258,-1.2161183331277388
2014-10-28,-1.833247311616397,-0.7768793851069681
2014-10-29,-1.8650836985533734,-0.6906894058114122
2014-10-30,-1.9642238752993146,0.08791368739154348
2014-10-31,-2.12798234677922,0.9862418490814305
2014-11-03,-2.187147296675359,-0.7149756787673053
2014-11-04,-2.193671488045083,-0.6591886017266538
2014-11-05,-2.261556654393959,0.6044122861273037
2014-11-06,-2.3426955828877096,-0.3591022283776776
2014-11-07,-2.2595802397012057,1.0127800557587652
2014-11-10,-2.204871975635443,0.007863395915307657
2014-11-11,-2.247897357078249,-0.14679707174233161
2014-11-12,-2.2246197562527876,-0.15064989058652326
2014-11-13,-2.2317669535155433,-0.09318902379358435
2014-11-14,-2.1615097977615343,0.9765289117315187
2014-11-17,-2.081540327940567,-0.005030289296449697
2014-11-18,-2.04445919906674,-0.3047753393823782
2014-11-19,-2.0438767852814386,0.722896088500109
2014-11-20,-2.0772303142138804,-0.11939244425053394
2014-11-21,-2.018915598202972,0.01589441052904201
2014-11-24,-2.0125426499388674,-1.2876704101374714
2014-11-25,-2.017856235744887,-0.7550636871648259
2014-11-28,-2.1010352363480402,0.5230164225877684
2014-12-01,-2.0789152433209774,1.4412608817885293
2014-12-02,-1.9755077210391119,-0.3707823920233751
2014-12-03,-1.9786786140716055,-0.6117474377057341
2014-12-04,-1.9548101790440642,-0.8386292307110512
2014-12-05,-2.0131672185114406,-0.48797578260344815
2014-12-08,-2.0286088815599452,-0.9716793378697893
2014-12-09,-1.8844732063190808,0.3877200999631571
2014-12-10,-1.8145757485540914,-0.5880185692467744
2014-12-11,-1.848984473143403,-0.5741492823129394
2014-12-12,-1.8613626177211928,-0.7891658194649741
2014-12-15,-1.9315652888277164,-0.47856992663937065
2014-12-16,-1.9935045147301051,0.3203692955293682
2014-12-17,-2.036850178507552,-0.38208733678468304
2014-12-18,-2.0210190492043227,-0.6545825779665084
2014-12-19,-2.021316106996372,-1.2916037285983948
2014-12-22,-2.0759206367870107,-0.7194606923728938
2014-12-23,-2.1351625722667555,-1.0362502092494785
2014-12-24,-2.149031052689333,-1.5919880600133385
2014-12-26,-2.087168237491258,-1.3245348141690043
2014-12-29,-2.0742437138314074,-1.1879798128939654
2014-12-30,-2.0386593931010553,-0.6245568089369613
2014-12-31,-2.05353005157657,-1.3070483567010105
2015-01-02,-2.102884766890304,-0.8317119860359299
2015-01-05,-2.0344118248419245,-0.5087826604433447
2015-01-06,-1.9258658323301714,-0.11186522236244842
2015-01-07,-1.9151574694608566,-0.8449827679417674
2015-01-08,-1.941459916661696,-0.8243468251226944
2015-01-09,-1.916247297333413,-0.4477869308433369
